"tract","Name","Median_Rent_2012-16"
26099255300,"Roseville, MI",921
48201531500,"Northside, Houston, TX",915
48355001801,"Central City, Corpus Christi, TX",914
26163503600,"Osborn, Detroit, MI",911
40047001402,"Enid, OK",908
26163580200,"Wyandotte, MI",907
25015822601,"Huntington, MA",906
51730811200,"Petersburg, VA",893
48355002704,"Bay Area, Corpus Christi, TX",888
8059010406,"Arvada, CO",884
51760070300,"Oxford, Richmond, VA",883
30063000100,"Upper Rattlesnake, Missoula, MT",880
26163546600,"Franklin Park, Detroit, MI",876
12103024410,"Saint Petersburg, FL",864
40109106906,"Central Oklahoma City, Oklahoma City, OK",862
39035174106,"North Olmsted, OH",860
18089041100,"Gary, IN",857
42079200300,"Wilkes-Barre, PA",846
8123001201,"Greeley, CO",841
22017022900,"Shreveport, LA",841
26163501300,"Morningside, Detroit, MI",836
48201432500,"Westside, Houston, TX",833
51109950201,"Louisa, VA",833
29095005602,"East Side, Kansas City, MO",832
37191000401,"Goldsboro, NC",832
26163536600,"Detroit, MI",832
18099020600,"Plymouth, IN",830
42043024400,"Hummelstown, PA",826
42071012301,"Ephrata, PA",824
5035030102,"West Memphis, AR",824
6019003400,"McLane, Fresno, CA",822
6019002200,"Tower District, Fresno, CA",821
48027021302,"Temple, TX",820
20091053502,"Havencroft, Olathe, KS",820
42003428100,"Pittsburgh, PA",819
25027709400,"Leominster, MA",816
22019002203,"Moss Bluff, LA",810
48139060400,"Waxahachie, TX",800
39093030100,"Vermilion, OH",798
5119003710,"North Little Rock, AR",798
39151711122,"North Canton, OH",794
42079201200,"Wilkes-Barre, PA",790
23005003702,"Cape Elizabeth, ME",790
12073002702,"Tallahassee, FL",789
51710006502,"East Ocean View, Norfolk, VA",789
32003002504,"Las Vegas, NV",788
35001003201,"Sandia Plaza, Albuquerque, NM",788
41047001601,"Northgate, Salem, OR",786
20177002800,"Topeka, KS",781
27059130200,"Stanchfield, MN",778
25027709702,"Leominster, MA",776
6037221401,"Jefferson, Los Angeles, CA",774
26099254500,"Fraser, MI",765
13195020200,"Danielsville, GA",765
17161023500,"Longview, Rock Island, IL",765
22033003505,"Baton Rouge, LA",764
22015010602,"Bossier City, LA",764
39133600902,"Ravenna, OH",761
47065012400,"Martin Luther King, Chattanooga, TN",761
36055000200,"Edgerton, Rochester, NY",756
49041975100,"Salina, UT",756
22119031900,"Minden, LA",753
26075000400,"Jackson, MI",750
12119910500,"Bushnell, FL",750
27061480100,"Bigfork, MN",744
48113011401,"Dallas, TX",743
42055011301,"Chambersburg, PA",741
48029170300,"Inner West Side, San Antonio, TX",734
40119010700,"Stillwater, OK",733
1089001302,"Huntsville, AL",731
51003011201,"Batesville Insert, Charlottesville, VA",731
18005010500,"Columbus, IN",728
29201781100,"Scott City, MO",727
47019070900,"Johnson City, TN",726
23009965400,"Orland, ME",723
40117957300,"Jennings, OK",722
31055004300,"Southeast Omaha, Omaha, NE",721
21187970100,"Owenton, KY",717
29189214800,"Saint Ann, MO",712
36055011603,"Rochester, NY",699
39123051200,"Port Clinton, OH",698
4025000203,"Chino Valley, AZ",691
27111960700,"Pelican Rapids, MN",691
27075370400,"Two Harbors, MN",690
48113009802,"Northwest Dallas, Dallas, TX",688
19013002902,"La Porte City, IA",687
17133600502,"Waterloo, IL",675
13143010301,"Bremen, GA",670
48309002498,"Brookview, Waco, TX",669
31005958300,"Arthur, NE",667
55139001500,"Oshkosh, WI",666
41019030000,"Drain, OR",660
36025970600,"Walton, NY",658
39095004503,"Beverly, Toledo, OH",653
55079015900,"Clarke Square, Milwaukee, WI",652
21239050105,"Versailles, KY",648
42087960700,"Lewistown, PA",647
37067002904,"Germanton, NC",645
5035030600,"Proctor, AR",637
46055960100,"Philip, SD",637
41059950400,"Pendleton, OR",637
17113001500,"Bloomington, IL",636
18163002900,"Westside, Evansville, IN",633
5093010100,"Blytheville, AR",625
26099211000,"Richmond, MI",623
26103001500,"Negaunee, MI",619
20055960403,"Garden City, KS",617
1015001201,"Oxford, AL",614
28011950500,"Cleveland, MS",613
26025003100,"Homer, MI",610
40143001200,"Crutchfield, Tulsa, OK",609
27143170300,"Gaylord, MN",608
5069001502,"Pine Bluff, AR",606
39093023500,"Lorain, OH",606
55067960600,"Antigo, WI",605
36121970200,"Attica, NY",601
72145560402,"Vega Baja, PR",600
48303010402,"Lubbock, TX",588
19109950500,"Algona, IA",582
38017000700,"Downtown, Fargo, ND",579
26007000300,"Alpena, MI",575
40107080700,"Paden, OK",559
37107010400,"Kinston, NC",556
42111021902,"Confluence, PA",549
17183010500,"Danville, IL",547
48503950200,"Olney, TX",544
21043960200,"Olive Hill, KY",539
