"tract","Name","Individual_Income_Excluding_Spouse_rP_gF_pall"
25021401200,"Chestnut Hill, Brookline, MA",46447
6037139801,"Tarzana, Los Angeles, CA",46445
34039036200,"Clark, NJ",46391
25017338400,"Winchester, MA",46382
25017374000,"Oak Hill, Newton, MA",46358
34023008602,"Princeton Meadows, NJ",46347
6081608013,"Foster City, CA",46290
34023006604,"East Brunswick, NJ",46288
24031706013,"Bethesda, MD",46258
11001000901,"Northwest Washington, Washington, DC",46231
6037141500,"Encino, Los Angeles, CA",46222
36119005500,"Pelham, Pelham Manor, NY",46183
36059415201,"Merrick, NY",46161
36059518800,"Syosset, NY",46155
36005033500,"Bronx County, NY",46147
6013354002,"Orinda, CA",46143
36059302800,"North New Hyde Park, NY",46139
36087011200,"West Nyack, NY",46137
6001442000,"Kimber - Gomes, Fremont, CA",46134
9001045101,"Wilton, CT",46097
6001426100,"Piedmont, CA",46094
34013020100,"Essex County, NJ",46054
6001443103,"Fremont, CA",46054
6037700600,"Beverly Hills, CA",46032
42129802103,"Murrysville, PA",46021
36119002105,"Beech Hill, Scarsdale, NY",45983
6013392000,"Kensington, CA",45976
6037265601,"Westwood, Los Angeles, CA",45956
36059301500,"Plandome, NY",45929
36061006000,"Midtown, New York, NY",45917
36087013402,"Sparkill, NY",45917
34003047300,"Ridgewood, NJ",45913
34013020000,"Essex County, NJ",45912
36119012501,"Katonah, NY",45905
6037261200,"Beverly Glen, Los Angeles, CA",45894
36061014801,"Upper East Side, New York, NY",45872
36061014802,"Upper East Side, New York, NY",45865
36087012800,"Pearl River, NY",45862
25025020101,"Beacon Hill, Boston, MA",45843
24031706008,"Potomac, MD",45843
34025809703,"Marlboro Township, NJ",45836
36081139900,"Queens County, NY",45833
25017367100,"Weston, MA",45805
17031800300,"Winnetka, IL",45789
25017362100,"Carlisle, MA",45785
24005408303,"Reisterstown, MD",45780
36081157101,"Bellerose Manor, Bellerose, NY",45775
6085511909,"South San Jose, San Jose, CA",45762
25017373600,"Chestnut Hill, Newton, MA",45759
36081114700,"Queens County, NY",45750
9003497400,"West Hartford, CT",45748
36087010801,"New City, NY",45733
6085507903,"Joaquin Miller, San Jose, CA",45732
25017374300,"Waban, Newton, MA",45714
36119002103,"Crestwood, Yonkers, NY",45712
36059517701,"Glen Head, NY",45683
36119012304,"Armonk, NY",45675
34007607504,"Voorhees Township, NJ",45672
36081047600,"Queens County, NY",45663
36081144100,"Queens County, NY",45659
42091201408,"Dresher, PA",45637
34039038602,"Scotch Plains, NJ",45636
51059460200,"Vienna, VA",45636
36119012303,"Armonk, NY",45631
6037574602,"Bixby Hill, Long Beach, CA",45605
34039036400,"Westfield, NJ",45592
24031700607,"North Potomac, MD",45591
36059519704,"Plainview, NY",45588
6075047702,"Richmond District, San Francisco, CA",45574
24005403803,"Pikesville, MD",45565
6085511704,"Los Altos Hills, CA",45564
11001001600,"Northwest Washington, Washington, DC",45552
36005030900,"Bronx County, NY",45549
42003070300,"Shadyside, Pittsburgh, PA",45524
24031704403,"Bethesda, MD",45518
25009254403,"Andover, MA",45501
6081609000,"Belmont, CA",45496
39035179102,"Pepper Pike, OH",45490
6037403407,"Valle Lindo, Walnut, CA",45485
13121009102,"Buckhead, Atlanta, GA",45451
48113020600,"Northwest Dallas, Dallas, TX",45439
25017374800,"Auburndale, Newton, MA",45434
42003422000,"Pittsburgh, PA",45423
36103134903,"Smithtown, NY",45420
6013353001,"Orinda, CA",45419
6013391000,"Berkeley, CA",45408
42079216501,"Sugarloaf, PA",45405
6085510001,"Los Altos, CA",45398
36119011700,"Sleepy Hollow, NY",45392
36119009600,"Highlands, White Plains, NY",45376
24033806400,"University Park, MD",45373
36103169703,"Baiting Hollow, NY",45365
36087013001,"Orangeburg, NY",45348
6081606500,"Baywood - Aragon, San Mateo, CA",45330
9003520202,"South Glastonbury, Glastonbury, CT",45323
17031800800,"Northfield, IL",45320
36005030100,"Bronx County, NY",45315
36059412600,"Rockville Centre, NY",45301
36081099704,"Queens County, NY",45295
34023001409,"Edison, NJ",45272
17031801902,"Glenview, IL",45271
6041118100,"San Anselmo, CA",45269
6085511910,"South San Jose, San Jose, CA",45263
25013813303,"Longmeadow, MA",45259
42091203208,"Blue Bell, PA",45229
51059481105,"Herndon, VA",45219
10003011800,"Wilmington, DE",45219
34013020500,"Livingston, NJ",45216
10003011700,"Wilmington, DE",45207
36119008302,"Rye Brook, NY",45205
36103110200,"Huntington, NY",45200
36059415500,"North Wantagh, Seaford, NY",45194
48029191504,"North Central, Shavano Park, TX",45189
24031706007,"Potomac, MD",45187
24031706005,"Rockville, MD",45187
34007603503,"Willowdale, Cherry Hill, NJ",45176
11001001500,"Northwest Washington, Washington, DC",45175
6073000100,"Mission Hills, San Diego, CA",45166
36081129102,"Queens County, NY",45156
27053023502,"Edina, MN",45146
25025020301,"West End, Boston, MA",45142
6037271500,"Mar Vista, Los Angeles, CA",45117
36081140902,"Queens County, NY",45108
36119014901,"Katonah, NY",45107
48201431600,"Westside, Houston, TX",45107
36059300600,"Great Neck Plaza, NY",45106
51013100300,"Old Glebe, Arlington, VA",45101
34003040002,"Oradell, NJ",45079
9001010201,"Greenwich, CT",45068
36059411902,"Lynbrook, NY",45064
6081604600,"Millbrae, CA",45054
36081112900,"Queens County, NY",45041
51760041000,"Fan District, Richmond, VA",45026
6085507701,"Cupertino, CA",45022
6075047600,"Central Richmond, San Francisco, CA",45020
6075030900,"Ingleside Terraces, San Francisco, CA",45018
34013016900,"Montclair, NJ",45018
25021404202,"Babson Park, Wellesley, MA",44982
36081072900,"Queens County, NY",44980
36059518203,"Woodbury, NY",44961
6013390200,"El Cerrito, CA",44957
36059416900,"Lido Beach, NY",44957
34027045704,"Randolph, NJ",44957
34003047200,"Ridgewood, NJ",44955
34013016300,"Upper Montclair, Montclair, NJ",44951
21067002304,"Lexington, KY",44950
34035052300,"Watchung, NJ",44948
17031070102,"Lincoln Park, Chicago, IL",44945
34013021803,"West Caldwell, NJ",44942
36059301102,"Port Washington, NY",44927
36119006700,"New Rochelle, NY",44920
34023001410,"Edison, NJ",44914
25017357200,"Belmont, MA",44912
26125154500,"Orchard Lake, Orchard Lake Village, MI",44911
36085027900,"Richmond County, NY",44894
9001090600,"Trumbull, CT",44892
24031701220,"Rockville, MD",44890
25021414100,"Sharon, Sharon, MA",44890
36061016001,"Upper East Side, New York, NY",44886
36081069500,"Queens County, NY",44880
24031701002,"Rockville, MD",44878
34013019000,"South Orange, NJ",44877
51059470900,"Falls Church, VA",44865
34013020400,"Livingston, NJ",44862
36059517802,"Locust Valley, NY",44858
42091204500,"Merion Station, PA",44850
9003492400,"Wethersfield, CT",44847
9001050100,"Westport, CT",44846
9001060800,"Fairfield, CT",44844
39035183200,"Shaker Heights, OH",44841
34027043100,"Madison, NJ",44837
36059303101,"New Hyde Park, NY",44837
34021004203,"Princeton, NJ",44835
25021457200,"Needham, MA",44809
36119005002,"Eastchester, NY",44804
34003007002,"Closter, NJ",44802
9001060600,"Southport, Fairfield, CT",44798
36059303500,"Mineola, NY",44798
17097865600,"Braeside, Highland Park, IL",44797
25017373500,"Newton Corner, Newton, MA",44795
34023008800,"Piscataway Township, NJ",44779
34023001414,"Edison, NJ",44777
9009141000,"West New Haven, New Haven, CT",44776
24031705502,"Chevy Chase, MD",44758
36047045000,"Kings County, NY",44737
48029190800,"Uptown, San Antonio, TX",44732
9001020300,"North Stamford, Stamford, CT",44720
24031701206,"Potomac, MD",44706
6085507702,"Cupertino, CA",44706
26163550900,"Grosse Pointe Shores, MI",44696
36103111802,"East Northport, NY",44694
36061005400,"Midtown, New York, NY",44686
34003042301,"Paramus, NJ",44680
34035053901,"Rocky Hill, NJ",44668
36081097300,"Queens County, NY",44651
47037018500,"Belle Meade Links, Nashville, TN",44650
6037262802,"Pacific Palisades, Santa Monica, CA",44629
24005490400,"Towson, MD",44628
34003019304,"Fort Lee, NJ",44603
15003000402,"Kuliouou - Kalani Iki, Honolulu, HI",44599
17031800600,"Kenilworth, IL",44596
6037108103,"Northridge, Los Angeles, CA",44595
36103135209,"Hauppauge, NY",44588
17031800400,"Winnetka, IL",44577
36081091601,"Queens County, NY",44576
36059302000,"Roslyn, NY",44574
24031701210,"Potomac, MD",44572
42003140400,"Point Breeze, Pittsburgh, PA",44570
25017373900,"Oak Hill, Newton, MA",44552
6037262302,"Brentwood, Los Angeles, CA",44525
9001010102,"Greenwich, CT",44518
36119006801,"Scarsdale, NY",44506
6075010300,"Russian Hill, San Francisco, CA",44503
6085507808,"Cupertino, CA",44501
9003497700,"West Hartford, CT",44494
36081119300,"Queens County, NY",44486
34013020700,"Livingston, NJ",44486
36059302501,"Roslyn Heights, NY",44475
36059519602,"Plainview, NY",44471
34027041200,"Mountain Lakes, NJ",44464
6081608001,"Foster City, CA",44457
36059302400,"Albertson, NY",44438
25017358400,"Lexington, MA",44414
17097864601,"Lake Forest, IL",44414
36059301600,"Manhasset, NY",44407
36087012600,"Pearl River, NY",44398
34003061200,"Wyckoff, NJ",44394
25021416400,"Milton, MA",44388
17097864602,"Lake Forest, IL",44378
9001010300,"Greenwich, CT",44365
40109106401,"Central Oklahoma City, Nichols Hills, OK",44345
36059302300,"Albertson, NY",44328
42091205400,"Wynnewood, PA",44313
34007606100,"Haddonfield, NJ",44291
34035054202,"Skillman, Montgomery, NJ",44286
20091053421,"Forest Glen, Overland Park, KS",44283
36059405800,"Garden City, NY",44259
6001404200,"Upper Rockridge, Oakland, CA",44257
17097863603,"Libertyville, IL",44255
36059519500,"Hicksville, Hicksville, NY",44239
48201413201,"Braeswood Place, Houston, TX",44219
6111007406,"Oak Park, CA",44213
42091201006,"North Wales, PA",44210
36087012700,"Pearl River, NY",44208
34027042100,"Whippany, Hanover, NJ",44198
42029303901,"West Chester, PA",44197
36119012400,"Pound Ridge, NY",44180
48113013300,"North Dallas, Dallas, TX",44180
12011090503,"Emerald Hills, Hollywood, FL",44177
6075032801,"Parkside, San Francisco, CA",44173
17097863400,"Lake Forest, IL",44166
9001105100,"Easton, CT",44147
6075045100,"Balboa Hollow, San Francisco, CA",44143
38015011103,"Bismarck, ND",44138
6075010400,"North Beach, San Francisco, CA",44130
42091204800,"Gladwyne, PA",44125
26163551700,"Grosse Pointe Woods, MI",44123
51059482400,"Vienna, VA",44121
48085031645,"Glenhollow Estates, Plano, TX",44120
34013020902,"Roseland, NJ",44115
36119007100,"Larchmont, NY",44107
34003022100,"Glen Rock, NJ",44099
25021416101,"Milton, MA",44095
34035053704,"Somerset County, NJ",44093
36087010803,"New City, NY",44092
36085018100,"Richmond County, NY",44079
6037261102,"Beverly Hills, CA",44077
9003487300,"South Windsor, CT",44075
36061014200,"Upper East Side, New York, NY",44072
17097864512,"Long Grove, IL",44068
36081073100,"Queens County, NY",44052
36087011303,"Nanuet, NY",44049
34025809600,"Morganville, Manalapan Township, NJ",44048
17031071300,"Lincoln Park, Chicago, IL",44045
51087200108,"Henrico, VA",44039
6037262303,"Brentwood, Los Angeles, CA",44038
34003048200,"River Edge, NJ",44033
36059519801,"Plainview, NY",44032
24009860101,"Dunkirk, MD",44031
34025806503,"Monmouth County, NJ",44030
